RIVER_NAME,Station_ID,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L)
Turag,SW302,29.68,7.61,6.05,0.05,0.08,121.6,0.56,45.22
Turag,SW302,29.3,7,0.63,0,57.3,114.6,0.17,12.2
Turag,SW302,28.35,8.37,6.39,0.05,0.09,147.9,0.56,45.22
Turag,SW302,29.59,7.07,6.19,0.05,0.07,114.5,0.56,45.22
Turag,SW302,27.31,7.8,8,0,52,105,0.06,18
Turag,SW302,25.7,6.71,0.25,0,70.8,141.5,0.63,14.5
Turag,SW302,27.31,7.83,0.92,0,62.6,125.3,0.51,17
Turag,SW302,27.31,6.54,4.3,0,69.7,139.5,0.06,7.25
Turag,SW302,27.31,6.54,4.3,0,69.7,139.5,0.06,7.25
Turag,SW302,27.31,7.33,8.1,0,81.1,162.2,0.03,13.5
Turag,SW302,27.31,6.57,5.96,0,84.8,170.1,0.05,45.25
Turag,SW302,25,8,7.1,0,0.58,120,1,14
Turag,SW302,29.75,7.21,6.89,0.05,0.07,119.5,0.56,45.22
Turag,SW302,29.57,7.27,7.25,0.05,0.07,111.5,0.56,45.22
Turag,SW302,23.91,8.74,7.72,0.08,0.13,202.2,0.56,45.22
Turag,SW302,27.31,7.4,6.48,0.1,192.5,385,0.15,50
Turag,SW302,27.9,6.95,0.38,0,67.2,134.4,0.15,14
Turag,SW302,20.6,0,63.1,0,63.1,126.3,0.75,12.6
Turag,SW302,27.31,7.6,6.8,0,71,140,0.05,25
Turag,SW302,27.31,7.66,0.73,0,54.7,109.6,0.18,15.3
Turag,SW302,27.31,6.96,1.51,0,67.7,134.4,0.06,10.1
Turag,SW302,27.31,6.96,1.51,0,67.7,134.4,0.06,10.1
Turag,SW302,27.31,6.61,8.33,0,85.8,171.7,0.03,12.25
Turag,SW302,26,8.1,7.1,0,0.62,130,0,11
Turag,SW302,23,8.6,0.06,0.1,240,210,1.21,50
Turag,SW302,27.05,7.81,5.13,0.05,0.07,112.3,0.56,45.22
Turag,SW302,26.81,7.99,6.14,0.05,0.07,109.1,0.56,45.22
Turag,SW302,20.89,8.78,6.95,0.09,0.15,232,0.56,45.22
Turag,SW302,27.31,7.8,6.4,0.3,155,710,0.58,75
Turag,SW302,27.31,6.75,2.75,0.1,141.1,282,0,35
Turag,SW302,27.31,6.99,8.28,0,126.3,253,0.02,29.25
Turag,SW302,27.31,6.99,8.28,0,126.3,253,0.02,29.25
Turag,SW302,27.31,7.81,5.1,0.1,136.9,274,0.02,5.8
Turag,SW302,25,7.02,0.48,0,62.1,124.2,0.1,12.5
Turag,SW302,22,6.94,0.57,0,97.8,195.7,0.79,20
Turag,SW302,27.31,6.99,1.11,0.1,142.2,284,0.12,35.4
Turag,SW302,27.31,7.7,6.6,0.1,171,342,0.05,24
Turag,SW302,25,8,7.1,0,2.17,430,0,19
Turag,SW302,32,7.6,0.07,0.5,460,850,1.25,90
Turag,SW302,30.28,8.44,5.47,0.05,0.07,106.8,0.56,45.22
Turag,SW302,30.75,7.41,4.32,0.09,0.14,228,0.56,45.22
